timestamp_iso,timestamp_ms,session_id,test_id,state,state_name,fault_flags_hex,fault_list,estop,arm,mode_air,mode_water,charge,discharge,v_alt_V,i_load_A,power_alt_W,i_pump_A,i_comp_A,power_pump_W,power_comp_W,p1_vessel_psi,p2_motor_psi,p_hydro_mbar,temp_water_C,depth_cm,rpm_alt,rpm_water,water_valve_cmd_pct,water_valve_fb_pct,air_pulse_hz,compressor_on,pump_on,air_arm_open,water_valve_open,air_pulsing,v_setpoint_V,energy_alt_J,energy_pump_J,energy_comp_J,energy_input_J,eta_round_trip_pct,dp1_dt_psi_per_s
2026-06-05T00:38:16.976+00:00,206,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.01,19.183,825.06,0.0,0.0,0.0,0.0,185.16,94.29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05T00:38:17.141+00:00,331,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,42.96,19.086,819.93,0.0,0.0,0.0,0.0,186.38,94.41,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,102.49,0.0,0.0,0.0,0.0,9.76
2026-06-05T00:38:17.220+00:00,455,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.01,19.134,822.95,0.0,0.0,0.0,0.0,185.16,94.04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,204.54,0.0,0.0,0.0,0.0,-9.84
2026-06-05T00:38:17.334+00:00,580,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,42.91,19.037,816.88,0.0,0.0,0.0,0.0,185.89,94.04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,306.65,0.0,0.0,0.0,0.0,5.84
2026-06-05T00:38:17.458+00:00,705,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,42.96,19.037,817.83,0.0,0.0,0.0,0.0,185.16,93.92,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,408.88,0.0,0.0,0.0,0.0,-5.84
2026-06-05T00:38:17.583+00:00,830,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,42.96,19.037,817.83,0.0,0.0,0.0,0.0,186.38,94.04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,511.11,0.0,0.0,0.0,0.0,9.76
2026-06-05T00:38:17.707+00:00,954,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,18.988,817.43,0.0,0.0,0.0,0.0,185.16,93.8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,612.47,0.0,0.0,0.0,0.0,-9.84
2026-06-05T00:38:17.833+00:00,1079,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,19.086,821.65,0.0,0.0,0.0,0.0,187.12,94.53,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,715.17,0.0,0.0,0.0,0.0,15.68
2026-06-05T00:38:17.957+00:00,1203,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,19.037,819.54,0.0,0.0,0.0,0.0,185.16,93.68,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,816.8,0.0,0.0,0.0,0.0,-15.81
2026-06-05T00:38:18.080+00:00,1328,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,19.037,819.54,0.0,0.0,0.0,0.0,187.36,94.53,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,919.24,0.0,0.0,0.0,0.0,17.6
2026-06-05T00:38:18.206+00:00,1452,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.01,18.988,816.67,0.0,0.0,0.0,0.0,184.67,93.56,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,1020.51,0.0,0.0,0.0,0.0,-21.69
2026-06-05T00:38:18.330+00:00,1576,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,18.988,817.43,0.0,0.0,0.0,0.0,186.87,94.53,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,1121.87,0.0,0.0,0.0,0.0,17.74
2026-06-05T00:38:18.456+00:00,1701,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,18.988,817.43,0.0,0.0,0.0,0.0,185.16,93.68,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,1224.05,0.0,0.0,0.0,0.0,-13.68
2026-06-05T00:38:18.579+00:00,1825,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,18.988,817.43,0.0,0.0,0.0,0.0,187.6,94.66,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,1325.41,0.0,0.0,0.0,0.0,19.68
2026-06-05T00:38:18.706+00:00,1950,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.01,18.939,814.57,0.0,0.0,0.0,0.0,184.67,93.56,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,1427.23,0.0,0.0,0.0,0.0,-23.44
2026-06-05T00:38:18.829+00:00,2074,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,18.89,813.21,0.0,0.0,0.0,0.0,187.12,94.53,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,1528.07,0.0,0.0,0.0,0.0,19.76
2026-06-05T00:38:18.956+00:00,2199,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,18.939,815.32,0.0,0.0,0.0,0.0,185.16,93.56,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,1629.98,0.0,0.0,0.0,0.0,-15.68
2026-06-05T00:38:19.079+00:00,2324,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,18.939,815.32,0.0,0.0,0.0,0.0,187.36,94.53,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,1731.9,0.0,0.0,0.0,0.0,17.6
2026-06-05T00:38:19.205+00:00,2448,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,18.89,813.21,0.0,0.0,0.0,0.0,185.65,93.56,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,1832.74,0.0,0.0,0.0,0.0,-13.79
2026-06-05T00:38:19.329+00:00,2573,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.01,18.841,810.35,0.0,0.0,0.0,0.0,186.63,94.29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,1934.03,0.0,0.0,0.0,0.0,7.84
2026-06-05T00:38:19.455+00:00,2697,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,18.841,811.11,0.0,0.0,0.0,0.0,185.41,93.68,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,2034.61,0.0,0.0,0.0,0.0,-9.84
2026-06-05T00:38:19.578+00:00,2822,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,18.841,811.11,0.0,0.0,0.0,0.0,187.12,94.66,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,2136.0,0.0,0.0,0.0,0.0,13.68
2026-06-05T00:38:19.703+00:00,2947,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,18.841,811.11,0.0,0.0,0.0,0.0,185.65,93.68,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,2237.39,0.0,0.0,0.0,0.0,-11.76
2026-06-05T00:38:19.829+00:00,3070,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.01,18.792,808.24,0.0,0.0,0.0,0.0,186.63,94.29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,2336.8,0.0,0.0,0.0,0.0,7.97
2026-06-05T00:38:19.952+00:00,3195,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.1,18.792,809.94,0.0,0.0,0.0,0.0,185.65,93.8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,2438.04,0.0,0.0,0.0,0.0,-7.84
2026-06-05T00:38:20.079+00:00,3320,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,18.792,809.0,0.0,0.0,0.0,0.0,186.87,94.41,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,2539.17,0.0,0.0,0.0,0.0,9.76
2026-06-05T00:38:20.202+00:00,3444,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,18.743,806.89,0.0,0.0,0.0,0.0,185.89,93.68,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,2639.22,0.0,0.0,0.0,0.0,-7.9
2026-06-05T00:38:20.328+00:00,3569,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.1,18.792,809.94,0.0,0.0,0.0,0.0,186.63,94.41,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,2740.46,0.0,0.0,0.0,0.0,5.92
2026-06-05T00:38:20.452+00:00,3693,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,18.743,806.89,0.0,0.0,0.0,0.0,186.14,93.8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,2840.52,0.0,0.0,0.0,0.0,-3.95
2026-06-05T00:38:20.578+00:00,3818,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.1,18.792,809.94,0.0,0.0,0.0,0.0,186.38,94.41,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,2941.76,0.0,0.0,0.0,0.0,1.92
2026-06-05T00:38:20.702+00:00,3943,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.1,18.743,807.82,0.0,0.0,0.0,0.0,186.14,94.04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,3042.74,0.0,0.0,0.0,0.0,-1.92
2026-06-05T00:38:20.827+00:00,4067,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.15,18.695,806.69,0.0,0.0,0.0,0.0,186.14,94.17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,3142.77,0.0,0.0,0.0,0.0,0.0
2026-06-05T00:38:20.955+00:00,4195,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,18.597,800.6,5.177,4.142,621.24,497.04,185.65,93.8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,3245.24,79.52,63.62,143.14,2267.18,-3.83
2026-06-05T00:38:21.086+00:00,4325,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.1,18.695,805.75,5.048,3.159,605.76,379.08,186.87,94.41,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,3349.99,158.27,112.9,271.17,1235.39,9.38
2026-06-05T00:38:21.217+00:00,4455,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.1,18.646,803.64,5.114,3.198,613.68,383.76,187.12,94.78,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,3454.46,238.05,162.79,400.84,861.81,1.92
2026-06-05T00:38:21.345+00:00,4585,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.1,18.646,803.64,5.149,3.185,617.88,382.2,186.63,94.29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,3558.94,318.37,212.48,530.85,670.43,-3.77
2026-06-05T00:38:21.476+00:00,4715,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.1,18.646,803.64,5.179,3.201,621.48,384.12,185.16,93.8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,3663.41,399.16,262.41,661.57,553.74,-11.31
2026-06-05T00:38:21.607+00:00,4845,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.1,18.597,801.53,5.208,3.205,624.96,384.6,185.41,93.56,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,3767.61,480.41,312.41,792.82,475.22,1.92
2026-06-05T00:38:21.737+00:00,4975,3ededbfd-bb7b-4ced-bdd2-5584194b0c5d,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.1,18.597,801.53,5.212,3.193,625.44,383.16,186.38,94.17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,3871.81,561.71,362.22,923.94,419.06,7.46
