timestamp_iso,timestamp_ms,session_id,test_id,state,state_name,fault_flags_hex,fault_list,estop,arm,mode_air,mode_water,charge,discharge,v_alt_V,i_load_A,power_alt_W,i_pump_A,i_comp_A,power_pump_W,power_comp_W,p1_vessel_psi,p2_motor_psi,p_hydro_mbar,temp_water_C,depth_cm,rpm_alt,rpm_water,water_valve_cmd_pct,water_valve_fb_pct,air_pulse_hz,compressor_on,pump_on,air_arm_open,water_valve_open,air_pulsing,v_setpoint_V,energy_alt_J,energy_pump_J,energy_comp_J,energy_input_J,eta_round_trip_pct,dp1_dt_psi_per_s
2026-06-04T23:43:45.049+00:00,339,1308aaef-c453-4016-bfef-7433d1b6411f,,11,ESTOP,0x0C01,ESTOP|SELFTEST|OVERPRESSURE,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.08,32.34,1004.5,20.2,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-04T23:43:45.222+00:00,510,1308aaef-c453-4016-bfef-7433d1b6411f,,11,ESTOP,0x0C01,ESTOP|SELFTEST|OVERPRESSURE,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.63,77.43,1004.6,20.2,-2.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,623.1
2026-06-04T23:43:45.393+00:00,683,1308aaef-c453-4016-bfef-7433d1b6411f,,11,ESTOP,0x0C01,ESTOP|SELFTEST|OVERPRESSURE,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.49,4.97,1004.5,20.2,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-781.16
2026-06-04T23:43:45.565+00:00,854,1308aaef-c453-4016-bfef-7433d1b6411f,,11,ESTOP,0x0C01,ESTOP|SELFTEST|OVERPRESSURE,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.45,16.94,1004.5,20.2,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,11.46
2026-06-04T23:43:45.736+00:00,1026,1308aaef-c453-4016-bfef-7433d1b6411f,,11,ESTOP,0x0C01,ESTOP|SELFTEST|OVERPRESSURE,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.54,79.38,1004.6,20.2,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,797.03
2026-06-04T23:43:45.908+00:00,1198,1308aaef-c453-4016-bfef-7433d1b6411f,,11,ESTOP,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.28,18.16,1004.6,20.2,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-629.42
2026-06-04T23:43:46.080+00:00,1369,1308aaef-c453-4016-bfef-7433d1b6411f,,11,ESTOP,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,4.85,1004.6,20.2,-2.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-314.39
2026-06-04T23:43:46.252+00:00,1541,1308aaef-c453-4016-bfef-7433d1b6411f,,11,ESTOP,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.43,79.02,1004.5,20.2,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,906.45
2026-06-04T23:43:46.424+00:00,1712,1308aaef-c453-4016-bfef-7433d1b6411f,,11,ESTOP,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.48,33.93,1004.5,20.2,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-455.85
2026-06-04T23:43:46.596+00:00,1884,1308aaef-c453-4016-bfef-7433d1b6411f,,11,ESTOP,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-4.92,1004.5,20.2,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-508.6
2026-06-04T23:43:46.768+00:00,2056,1308aaef-c453-4016-bfef-7433d1b6411f,,11,ESTOP,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.08,74.13,1004.6,20.2,-2.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,860.93
2026-06-04T23:43:46.940+00:00,2227,1308aaef-c453-4016-bfef-7433d1b6411f,,11,ESTOP,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.49,41.14,1004.6,20.2,-2.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-231.52
2026-06-04T23:43:47.112+00:00,2399,1308aaef-c453-4016-bfef-7433d1b6411f,,11,ESTOP,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.42,-6.87,1004.6,20.2,-2.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-650.64
2026-06-04T23:43:47.284+00:00,2571,1308aaef-c453-4016-bfef-7433d1b6411f,,11,ESTOP,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.15,66.8,1004.6,20.2,-2.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,799.83
2026-06-04T23:43:47.456+00:00,2743,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.69,49.45,1004.5,20.2,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-72.44
2026-06-04T23:43:47.628+00:00,2914,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.16,-7.85,1004.6,20.2,-2.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-735.96
2026-06-04T23:43:47.801+00:00,3086,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.65,61.91,1004.5,20.2,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,743.08
2026-06-04T23:43:47.972+00:00,3258,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.95,54.45,1004.5,20.2,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,48.26
2026-06-04T23:43:48.144+00:00,3429,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.35,-8.71,1004.6,20.3,-2.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-808.77
2026-06-04T23:43:48.317+00:00,3601,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.32,53.97,1004.6,20.3,-2.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,649.24
2026-06-04T23:43:48.488+00:00,3773,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.73,62.89,1004.6,20.3,-2.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,275.64
2026-06-04T23:43:48.661+00:00,3944,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.33,-9.44,1004.6,20.3,-2.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-936.02
2026-06-04T23:43:48.833+00:00,4116,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.94,45.41,1004.5,20.3,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,559.71
2026-06-04T23:43:49.005+00:00,4288,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.23,72.66,1004.6,20.3,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,431.92
2026-06-04T23:43:49.177+00:00,4459,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.47,-8.46,1004.5,20.3,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-963.16
2026-06-04T23:43:49.349+00:00,4631,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.3,36.25,1004.5,20.3,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,434.71
2026-06-04T23:43:49.521+00:00,4803,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.88,77.18,1004.5,20.3,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,549.88
2026-06-04T23:43:49.693+00:00,4974,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.56,-2.72,1004.6,20.3,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-873.22
2026-06-04T23:43:49.865+00:00,5146,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.02,26.72,1004.5,20.3,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,200.35
2026-06-04T23:43:50.037+00:00,5318,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.57,78.53,1004.5,20.3,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,683.43
2026-06-04T23:43:50.209+00:00,5489,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.69,5.46,1004.5,20.3,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-794.62
2026-06-04T23:43:50.381+00:00,5661,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.18,17.06,1004.5,20.3,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,2.85
2026-06-04T23:43:50.553+00:00,5833,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.81,79.02,1004.5,20.3,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,788.55
2026-06-04T23:43:50.725+00:00,6004,1308aaef-c453-4016-bfef-7433d1b6411f,,10,FAULT,0x0C81,ESTOP|SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.93,15.6,1004.5,20.3,-2.3,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-665.96
