timestamp_iso,timestamp_ms,session_id,test_id,state,state_name,fault_flags_hex,fault_list,estop,arm,mode_air,mode_water,charge,discharge,v_alt_V,i_load_A,power_alt_W,i_pump_A,i_comp_A,power_pump_W,power_comp_W,p1_vessel_psi,p2_motor_psi,p_hydro_mbar,temp_water_C,depth_cm,rpm_alt,rpm_water,water_valve_cmd_pct,water_valve_fb_pct,air_pulse_hz,compressor_on,pump_on,air_arm_open,water_valve_open,air_pulsing,v_setpoint_V,energy_alt_J,energy_pump_J,energy_comp_J,energy_input_J,eta_round_trip_pct,dp1_dt_psi_per_s
2026-06-05T01:09:43.945+00:00,552,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.37,-9.93,0.0,0.0,0.0,0.0,0.0,0.0,51.5,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05T01:09:44.047+00:00,652,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.17,-10.05,0.0,0.0,0.0,0.0,0.0,0.0,51.6,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,22.0
2026-06-05T01:09:44.194+00:00,802,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.89,-10.05,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-11.47
2026-06-05T01:09:44.401+00:00,952,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.64,-9.93,0.0,0.0,0.0,0.0,0.0,0.0,52.3,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,1.67
2026-06-05T01:09:44.517+00:00,1101,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.64,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,52.1,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05T01:09:44.620+00:00,1201,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.4,-9.56,0.0,0.0,0.0,0.0,0.0,0.0,52.2,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,2.4
2026-06-05T01:09:44.743+00:00,1351,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.15,-9.93,0.0,0.0,0.0,0.0,0.0,0.0,52.4,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,1.67
2026-06-05T01:09:44.939+00:00,1501,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,-18.15,-9.68,0.0,0.0,0.0,0.0,0.0,0.0,52.7,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05T01:09:45.117+00:00,1650,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.4,-9.56,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-1.68
2026-06-05T01:09:45.181+00:00,1750,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,-17.17,-10.17,0.0,0.0,0.0,0.0,0.0,0.0,52.6,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,12.3
2026-06-05T01:09:45.248+00:00,1850,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.4,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,52.6,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-12.3
2026-06-05T01:09:45.394+00:00,1999,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.11,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,52.4,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-11.48
2026-06-05T01:09:45.496+00:00,2100,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.64,-10.05,0.0,0.0,0.0,0.0,0.0,0.0,52.3,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,14.55
2026-06-05T01:09:45.644+00:00,2249,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.13,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,52.6,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-3.29
2026-06-05T01:09:45.825+00:00,2399,e49eb1c7-558f-49dc-afd3-75a21e45690f,,10,FAULT,0x04C0,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.4,-9.68,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,4.87
