timestamp_iso,timestamp_ms,session_id,test_id,state,state_name,fault_flags_hex,fault_list,estop,arm,mode_air,mode_water,charge,discharge,v_alt_V,i_load_A,power_alt_W,i_pump_A,i_comp_A,power_pump_W,power_comp_W,p1_vessel_psi,p2_motor_psi,p_hydro_mbar,temp_water_C,depth_cm,rpm_alt,rpm_water,water_valve_cmd_pct,water_valve_fb_pct,air_pulse_hz,compressor_on,pump_on,air_arm_open,water_valve_open,air_pulsing,v_setpoint_V,energy_alt_J,energy_pump_J,energy_comp_J,energy_input_J,eta_round_trip_pct,dp1_dt_psi_per_s
2026-06-05T00:39:18.751+00:00,206,b4b5c8da-86ec-41c2-8060-c44a5cf223c7,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,17.424,750.1,0.0,0.0,0.0,0.0,184.92,93.8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05T00:39:18.885+00:00,331,b4b5c8da-86ec-41c2-8060-c44a5cf223c7,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,17.326,745.88,0.0,0.0,0.0,0.0,186.14,94.53,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,93.24,0.0,0.0,0.0,0.0,9.76
2026-06-05T00:39:18.996+00:00,455,b4b5c8da-86ec-41c2-8060-c44a5cf223c7,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,17.424,750.1,0.0,0.0,0.0,0.0,185.16,93.68,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,186.25,0.0,0.0,0.0,0.0,-7.9
2026-06-05T00:39:19.082+00:00,580,b4b5c8da-86ec-41c2-8060-c44a5cf223c7,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.15,17.473,753.96,0.0,0.0,0.0,0.0,186.63,94.29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,280.49,0.0,0.0,0.0,0.0,11.76
2026-06-05T00:39:19.208+00:00,705,b4b5c8da-86ec-41c2-8060-c44a5cf223c7,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.01,17.473,751.51,0.0,0.0,0.0,0.0,185.16,93.8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,374.43,0.0,0.0,0.0,0.0,-11.76
2026-06-05T00:39:19.332+00:00,829,b4b5c8da-86ec-41c2-8060-c44a5cf223c7,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,17.473,752.21,0.0,0.0,0.0,0.0,185.89,94.29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,467.71,0.0,0.0,0.0,0.0,5.89
2026-06-05T00:39:19.455+00:00,954,b4b5c8da-86ec-41c2-8060-c44a5cf223c7,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,17.473,752.21,0.0,0.0,0.0,0.0,185.41,93.68,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,561.73,0.0,0.0,0.0,0.0,-3.84
2026-06-05T00:39:19.581+00:00,1079,b4b5c8da-86ec-41c2-8060-c44a5cf223c7,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.1,17.473,753.09,0.0,0.0,0.0,0.0,186.38,94.29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,655.87,0.0,0.0,0.0,0.0,7.76
2026-06-05T00:39:19.704+00:00,1203,b4b5c8da-86ec-41c2-8060-c44a5cf223c7,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,17.473,752.21,0.0,0.0,0.0,0.0,185.65,93.8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,749.14,0.0,0.0,0.0,0.0,-5.89
2026-06-05T00:39:19.831+00:00,1328,b4b5c8da-86ec-41c2-8060-c44a5cf223c7,,11,ESTOP,0x0C43,ESTOP|OVERVOLTAGE|I2C_TIMEOUT|SELFTEST|OVERPRESSURE,1,0,0,0,0,0,43.05,17.473,752.21,0.0,0.0,0.0,0.0,185.89,94.41,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,843.17,0.0,0.0,0.0,0.0,1.92
