timestamp_iso,timestamp_ms,session_id,test_id,state,state_name,fault_flags_hex,fault_list,estop,arm,mode_air,mode_water,charge,discharge,v_alt_V,i_load_A,power_alt_W,i_pump_A,i_comp_A,power_pump_W,power_comp_W,p1_vessel_psi,p2_motor_psi,p_hydro_mbar,temp_water_C,depth_cm,rpm_alt,rpm_water,water_valve_cmd_pct,water_valve_fb_pct,air_pulse_hz,compressor_on,pump_on,air_arm_open,water_valve_open,air_pulsing,v_setpoint_V,energy_alt_J,energy_pump_J,energy_comp_J,energy_input_J,eta_round_trip_pct,dp1_dt_psi_per_s
2026-06-05T00:48:29.171+00:00,207,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0400,SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.93,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05T00:48:29.295+00:00,330,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.69,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-1.95
2026-06-05T00:48:29.419+00:00,454,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-2.02
2026-06-05T00:48:29.540+00:00,577,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,15.93
2026-06-05T00:48:29.664+00:00,700,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.69,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-13.9
2026-06-05T00:48:29.786+00:00,824,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,3.87
2026-06-05T00:48:29.912+00:00,947,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.69,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-3.9
2026-06-05T00:48:30.036+00:00,1071,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.44,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-2.02
2026-06-05T00:48:30.159+00:00,1193,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.93,-0.52,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,4.02
2026-06-05T00:48:30.283+00:00,1317,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.93,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05T00:48:30.405+00:00,1440,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.69,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-1.95
2026-06-05T00:48:30.531+00:00,1564,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.66,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,7.82
2026-06-05T00:48:30.654+00:00,1688,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4,0.32,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,5.97
2026-06-05T00:48:30.777+00:00,1811,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.93,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-11.95
2026-06-05T00:48:30.900+00:00,1935,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.69,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-1.94
2026-06-05T00:48:31.026+00:00,2058,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.69,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05T00:48:31.149+00:00,2182,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.69,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05T00:48:31.273+00:00,2306,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,3.87
2026-06-05T00:48:31.396+00:00,2428,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.69,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-3.93
2026-06-05T00:48:31.519+00:00,2552,996060cc-1738-4269-9a35-58ffa0c7dd73,,10,FAULT,0x0440,I2C_TIMEOUT|SELFTEST,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.69,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
