timestamp_iso,timestamp_ms,session_id,test_id,state,state_name,fault_flags_hex,fault_list,estop,arm,mode_air,mode_water,charge,discharge,v_alt_V,i_load_A,power_alt_W,i_pump_A,i_comp_A,power_pump_VA,power_pump_W,power_comp_VA,power_comp_W,p1_vessel_psi,p2_motor_psi,p_hydro_mbar,temp_water_C,depth_cm,rpm_alt,rpm_water,water_valve_cmd_pct,water_valve_fb_pct,air_pulse_hz,compressor_on,pump_on,air_arm_open,water_valve_open,air_pulsing,v_setpoint_V,energy_alt_J,energy_pump_J,energy_comp_J,energy_input_J,eta_round_trip_pct,dp1_dt_psi_per_s
2026-06-05T02:03:35.170+00:00,669,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.1,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05T02:03:35.285+00:00,785,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.33,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-4.22
2026-06-05T02:03:35.386+00:00,885,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.07,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,56.1,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,7.4
2026-06-05T02:03:35.535+00:00,1035,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.31,-0.52,0.0,0.0,0.0,0.0,0.0,0.0,55.4,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,1.6
2026-06-05T02:03:35.686+00:00,1184,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.07,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,55.7,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-1.61
2026-06-05T02:03:35.817+00:00,1317,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.9,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-9.17
2026-06-05T02:03:35.952+00:00,1451,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.85,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,55.8,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05T02:03:36.051+00:00,1550,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.33,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,55.9,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,4.85
2026-06-05T02:03:36.185+00:00,1683,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.58,-0.64,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,1.88
2026-06-05T02:03:36.284+00:00,1783,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.58,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,55.7,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05T02:03:36.419+00:00,1915,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.58,-0.52,0.0,0.0,0.0,0.0,0.0,0.0,55.8,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05T02:03:36.518+00:00,2016,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,-0.52,0.0,0.0,0.0,0.0,0.0,0.0,55.9,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-9.7
2026-06-05T02:03:36.669+00:00,2165,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.09,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,55.9,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,3.29
2026-06-05T02:03:36.784+00:00,2282,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.33,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,56.1,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,2.05
2026-06-05T02:03:36.935+00:00,2432,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.82,-0.52,0.0,0.0,0.0,0.0,0.0,0.0,55.9,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,3.27
2026-06-05T02:03:37.034+00:00,2531,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.58,-0.52,0.0,0.0,0.0,0.0,0.0,0.0,55.3,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-2.42
2026-06-05T02:03:37.136+00:00,2631,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.85,-0.52,0.0,0.0,0.0,0.0,0.0,0.0,54.5,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-7.3
2026-06-05T02:03:37.234+00:00,2732,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,52.8,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-2.48
2026-06-05T02:03:37.369+00:00,2864,34904cc0-20b0-44ef-a748-ca0f5d0a3cdb,,2,ARMED_IDLE,0x0000,NONE,0,1,0,0,0,0,0.0,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
