timestamp_iso,timestamp_ms,session_id,event_type,detail
2026-06-05T00:48:29.171+00:00,207,996060cc-1738-4269-9a35-58ffa0c7dd73,FAULT,SELFTEST
2026-06-05T00:48:29.295+00:00,330,996060cc-1738-4269-9a35-58ffa0c7dd73,FAULT,I2C_TIMEOUT|SELFTEST
2026-06-05T00:49:12.834+00:00,43785,996060cc-1738-4269-9a35-58ffa0c7dd73,FAULT,I2C_TIMEOUT|SENSOR_RANGE|SELFTEST
