timestamp_iso,timestamp_ms,session_id,test_id,state,state_name,fault_flags_hex,fault_list,estop,arm,mode_air,mode_water,charge,discharge,v_alt_V,i_load_A,power_alt_W,i_pump_A,i_comp_A,power_pump_VA,power_pump_W,power_comp_VA,power_comp_W,p1_vessel_psi,p2_motor_psi,p_hydro_mbar,temp_water_C,depth_cm,rpm_alt,rpm_water,water_valve_cmd_pct,water_valve_fb_pct,air_pulse_hz,compressor_on,pump_on,air_arm_open,water_valve_open,air_pulsing,v_setpoint_V,energy_alt_J,energy_pump_J,energy_comp_J,energy_input_J,eta_round_trip_pct,dp1_dt_psi_per_s
2026-06-05T05:48:13.842+00:00,605,d54b9e33-0e41-4762-847e-3523deb73d20,,10,FAULT,0x0002,OVERVOLTAGE,0,0,0,0,0,0,14.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.89,22.07,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05T05:48:13.875+00:00,689,d54b9e33-0e41-4762-847e-3523deb73d20,,10,FAULT,0x0002,OVERVOLTAGE,0,0,0,0,0,0,17.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.24,34.17,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,337.5
2026-06-05T05:48:14.006+00:00,820,d54b9e33-0e41-4762-847e-3523deb73d20,,10,FAULT,0x0002,OVERVOLTAGE,0,0,0,0,0,0,11.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.65,13.77,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-302.21
2026-06-05T05:48:14.108+00:00,920,d54b9e33-0e41-4762-847e-3523deb73d20,,10,FAULT,0x0002,OVERVOLTAGE,0,0,0,0,0,0,11.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.99,11.32,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-36.6
2026-06-05T05:48:14.207+00:00,1021,d54b9e33-0e41-4762-847e-3523deb73d20,,10,FAULT,0x0002,OVERVOLTAGE,0,0,0,0,0,0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.19,10.47,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,21.78
2026-06-05T05:48:14.292+00:00,1104,d54b9e33-0e41-4762-847e-3523deb73d20,,10,FAULT,0x0002,OVERVOLTAGE,0,0,0,0,0,0,11.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.07,13.28,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,58.8
2026-06-05T05:48:14.407+00:00,1221,d54b9e33-0e41-4762-847e-3523deb73d20,,10,FAULT,0x0002,OVERVOLTAGE,0,0,0,0,0,0,9.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01,9.86,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-68.89
2026-06-05T05:48:14.505+00:00,1320,d54b9e33-0e41-4762-847e-3523deb73d20,,10,FAULT,0x0002,OVERVOLTAGE,0,0,0,0,0,0,9.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.21,11.08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,22.22
2026-06-05T05:48:14.626+00:00,1436,d54b9e33-0e41-4762-847e-3523deb73d20,,10,FAULT,0x0002,OVERVOLTAGE,0,0,0,0,0,0,10.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72,11.69,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-4.22
2026-06-05T05:48:14.739+00:00,1554,d54b9e33-0e41-4762-847e-3523deb73d20,,10,FAULT,0x0002,OVERVOLTAGE,0,0,0,0,0,0,10.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.72,10.96,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
