timestamp_iso,timestamp_ms,session_id,test_id,state,state_name,fault_flags_hex,fault_list,estop,arm,mode_air,mode_water,charge,discharge,v_alt_V,i_load_A,power_alt_W,i_pump_A,i_comp_A,power_pump_VA,power_pump_W,power_comp_VA,power_comp_W,p1_vessel_psi,p2_motor_psi,p_hydro_mbar,temp_water_C,depth_cm,rpm_alt,rpm_water,water_valve_cmd_pct,water_valve_fb_pct,air_pulse_hz,compressor_on,pump_on,air_arm_open,water_valve_open,air_pulsing,v_setpoint_V,energy_alt_J,energy_pump_J,energy_comp_J,energy_input_J,eta_round_trip_pct,dp1_dt_psi_per_s
2026-06-05T07:49:06.321+00:00,862,66ec7050-ec57-40ab-8f47-c4287b6aac37,,1,OFF,0x0000,NONE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,105.9,1013.0,20.2,9.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,4.2,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-05T07:49:06.494+00:00,1033,66ec7050-ec57-40ab-8f47-c4287b6aac37,,1,OFF,0x0000,NONE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31,112.01,1013.0,20.2,9.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,4.2,0.0,0.0,0.0,0.0,0.0,-8.48
2026-06-05T07:49:06.665+00:00,1205,66ec7050-ec57-40ab-8f47-c4287b6aac37,,1,OFF,0x0000,NONE,0,0,0,0,0,0,0.0,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5,1013.0,20.2,9.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,4.2,0.0,0.0,0.0,0.0,0.0,1.8
2026-06-05T07:49:06.836+00:00,1376,66ec7050-ec57-40ab-8f47-c4287b6aac37,,1,OFF,0x0000,NONE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,107.0,1013.0,20.2,9.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,4.2,0.0,0.0,0.0,0.0,0.0,6.67
2026-06-05T07:49:07.008+00:00,1547,66ec7050-ec57-40ab-8f47-c4287b6aac37,,1,OFF,0x0000,NONE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.53,110.05,1013.0,20.2,9.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,4.2,0.0,0.0,0.0,0.0,0.0,-15.61
2026-06-05T07:49:07.177+00:00,1718,66ec7050-ec57-40ab-8f47-c4287b6aac37,,1,OFF,0x0000,NONE,0,0,0,0,0,0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5,1013.0,20.2,9.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,4.2,0.0,0.0,0.0,0.0,0.0,8.95
2026-06-05T07:49:07.349+00:00,1889,66ec7050-ec57-40ab-8f47-c4287b6aac37,,1,OFF,0x0000,NONE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,110.05,1013.0,20.2,9.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,4.2,0.0,0.0,0.0,0.0,0.0,5.26
2026-06-05T07:49:07.521+00:00,2061,66ec7050-ec57-40ab-8f47-c4287b6aac37,,1,OFF,0x0000,NONE,0,0,0,0,0,0,0.0,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.02,110.66,1013.0,20.2,9.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,4.2,0.0,0.0,0.0,0.0,0.0,-16.98
2026-06-05T07:49:07.693+00:00,2232,66ec7050-ec57-40ab-8f47-c4287b6aac37,,1,OFF,0x0000,NONE,0,0,0,0,0,0,0.0,1.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5,1013.0,20.2,9.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,4.2,0.0,0.0,0.0,0.0,0.0,11.81
2026-06-05T07:49:07.865+00:00,2403,66ec7050-ec57-40ab-8f47-c4287b6aac37,,1,OFF,0x0000,NONE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.56,112.5,1013.0,20.2,9.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,4.2,0.0,0.0,0.0,0.0,0.0,-3.27
2026-06-05T07:49:08.036+00:00,2575,66ec7050-ec57-40ab-8f47-c4287b6aac37,,1,OFF,0x0000,NONE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,107.0,1013.0,20.2,9.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,4.2,0.0,0.0,0.0,0.0,0.0,7.03
2026-06-05T07:49:08.205+00:00,2746,66ec7050-ec57-40ab-8f47-c4287b6aac37,,1,OFF,0x0000,NONE,0,0,0,0,0,0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.83,1013.0,20.2,9.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,4.2,0.0,0.0,0.0,0.0,0.0,-3.8
2026-06-05T07:49:08.378+00:00,2917,66ec7050-ec57-40ab-8f47-c4287b6aac37,,1,OFF,0x0000,NONE,0,0,0,0,0,0,0.0,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.29,112.5,1013.0,20.2,9.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,4.2,0.0,0.0,0.0,0.0,0.0,-7.54
2026-06-05T07:49:08.550+00:00,3088,66ec7050-ec57-40ab-8f47-c4287b6aac37,,1,OFF,0x0000,NONE,0,0,0,0,0,0,0.0,0.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.5,1013.0,20.2,9.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,4.2,0.0,0.0,0.0,0.0,0.0,7.54
2026-06-05T07:49:08.722+00:00,3259,66ec7050-ec57-40ab-8f47-c4287b6aac37,,1,OFF,0x0000,NONE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.53,109.07,1013.0,20.2,9.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,4.2,0.0,0.0,0.0,0.0,0.0,-8.95
2026-06-05T07:49:08.893+00:00,3431,66ec7050-ec57-40ab-8f47-c4287b6aac37,,1,OFF,0x0000,NONE,0,0,0,0,0,0,0.0,1.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.29,112.5,1013.0,20.2,9.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,4.2,0.0,0.0,0.0,0.0,0.0,1.4
