timestamp_iso,timestamp_ms,session_id,test_id,state,state_name,fault_flags_hex,fault_list,estop,arm,mode_air,mode_water,charge,discharge,v_alt_V,i_load_A,power_alt_W,i_pump_A,i_comp_A,power_pump_W,power_comp_W,p1_vessel_psi,p2_motor_psi,p_hydro_mbar,temp_water_C,depth_cm,rpm_alt,rpm_water,water_valve_cmd_pct,water_valve_fb_pct,air_pulse_hz,compressor_on,pump_on,air_arm_open,water_valve_open,air_pulsing,v_setpoint_V,energy_alt_J,energy_pump_J,energy_comp_J,energy_input_J,eta_round_trip_pct,dp1_dt_psi_per_s
2026-06-04T21:22:23.501+00:00,338,c73b8aee-e184-4449-b355-58d5694dddce,,10,FAULT,0x0480,SENSOR_RANGE|SELFTEST,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.82,31.12,1005.6,22.7,-1.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-04T21:22:23.673+00:00,510,c73b8aee-e184-4449-b355-58d5694dddce,,10,FAULT,0x0480,SENSOR_RANGE|SELFTEST,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.86,-12.5,1005.6,22.7,-1.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-457.44
2026-06-04T21:22:23.844+00:00,683,c73b8aee-e184-4449-b355-58d5694dddce,,10,FAULT,0x0C80,SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.74,112.5,1005.6,22.8,-1.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,1165.32
2026-06-04T21:22:24.016+00:00,854,c73b8aee-e184-4449-b355-58d5694dddce,,10,FAULT,0x0C80,SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.69,57.75,1005.6,22.8,-1.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-433.04
2026-06-04T21:22:24.188+00:00,1026,c73b8aee-e184-4449-b355-58d5694dddce,,10,FAULT,0x0C80,SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.84,-12.5,1005.6,22.8,-1.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-747.27
2026-06-04T21:22:24.360+00:00,1198,c73b8aee-e184-4449-b355-58d5694dddce,,10,FAULT,0x0C80,SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.03,107.97,1005.6,22.8,-1.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,1167.85
2026-06-04T21:22:24.532+00:00,1370,c73b8aee-e184-4449-b355-58d5694dddce,,10,FAULT,0x0C80,SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.09,75.1,1005.6,22.8,-1.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-267.09
2026-06-04T21:22:24.705+00:00,1541,c73b8aee-e184-4449-b355-58d5694dddce,,10,FAULT,0x0C80,SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.31,-12.5,1005.6,22.8,-1.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-914.62
2026-06-04T21:22:24.876+00:00,1713,c73b8aee-e184-4449-b355-58d5694dddce,,10,FAULT,0x0C80,SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.3,94.41,1005.6,22.8,-1.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,1044.24
2026-06-04T21:22:25.048+00:00,1885,c73b8aee-e184-4449-b355-58d5694dddce,,10,FAULT,0x0C80,SENSOR_RANGE|SELFTEST|OVERPRESSURE,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.41,88.42,1005.6,22.8,-1.2,0.0,0.0,0.0,,0.0,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,0.0,-28.43
